date,inflow_mgd
1940-10-27,63.4942494051
1940-10-28,59.2612994447
1940-10-29,61.6801279935
1940-10-30,73.1695636001
1940-10-31,208.6239623309
1940-11-01,144.5250057886
1940-11-02,592.6129944472
1940-11-03,414.8290961130
1940-11-04,269.6993831872
1940-11-05,205.6004266449
1940-11-06,187.4592125292
1940-11-07,178.3886054713
1940-11-08,146.3391272002
1940-11-09,129.4073273589
1940-11-10,120.9414274382
1940-11-11,124.5696702613
1940-11-12,129.4073273589
1940-11-13,134.8496915936
1940-11-14,124.5696702613
1940-11-15,136.6638130052
1940-11-16,128.1979130845
1940-11-17,112.4755275175
1940-11-18,114.2896489291
1940-11-19,116.1037703407
1940-11-20,129.4073273589
1940-11-21,144.5250057886
1940-11-22,140.2920558283
1940-11-23,140.2920558283
1940-11-24,151.7814914349
1940-11-25,296.9112043608
1940-11-26,229.1840049954
1940-11-27,287.8405973029
1940-11-28,434.1797245031
1940-11-29,310.8194685162
1940-11-30,283.0029402054
1940-12-01,519.4434308470
1940-12-02,546.6552520206
1940-12-03,387.0125678022
1940-12-04,278.1652831078
1940-12-05,260.0240689921
1940-12-06,259.4193618549
1940-12-07,244.3016834252
1940-12-08,402.1302462320
1940-12-09,335.0077540038
1940-12-10,289.0500115773
1940-12-11,302.3535685955
1940-12-12,280.5841116566
1940-12-13,351.3348467080
1940-12-14,417.2479246618
1940-12-15,374.9184250584
1940-12-16,434.1797245031
1940-12-17,571.4482446455
1940-12-18,417.2479246618
1940-12-19,351.3348467080
1940-12-20,321.7041969856
1940-12-21,302.3535685955
1940-12-22,269.6993831872
1940-12-23,241.8828548764
1940-12-24,210.4380837425
1940-12-25,194.1109910383
1940-12-26,249.1393405227
1940-12-27,278.1652831078
1940-12-28,267.2805546384
1940-12-29,335.0077540038
1940-12-30,337.4265825526
1940-12-31,304.7723971443
1941-01-01,280.5841116566
1941-01-02,382.1749107047
1941-01-03,840.5429206955
1941-01-04,589.5894587612
1941-01-05,434.1797245031
1941-01-06,351.3348467080
1941-01-07,296.9112043608
1941-01-08,283.0029402054
1941-01-09,269.6993831872
1941-01-10,249.1393405227
1941-01-11,229.1840049954
1941-01-12,205.6004266449
1941-01-13,198.3439409986
1941-01-14,174.1556555110
1941-01-15,168.1085841391
1941-01-16,166.2944627275
1941-01-17,229.1840049954
1941-01-18,396.6878819973
1941-01-19,299.9347400467
1941-01-20,196.5298195871
1941-01-21,151.1767842977
1941-01-22,181.4121411573
1941-01-23,272.1182117359
1941-01-24,450.5068172073
1941-01-25,604.7071371910
1941-01-26,450.5068172073
1941-01-27,368.8713536865
1941-01-28,321.7041969856
1941-01-29,267.2805546384
1941-01-30,239.4640263276
1941-01-31,211.6474980168
1941-02-01,193.5062839011
1941-02-02,193.5062839011
1941-02-03,181.4121411573
1941-02-04,156.0144413953
1941-02-05,129.4073273589
1941-02-06,151.7814914349
1941-02-07,205.6004266449
1941-02-08,168.1085841391
1941-02-09,140.2920558283
1941-02-10,129.4073273589
1941-02-11,128.1979130845
1941-02-12,154.2003199837
1941-02-13,203.1815980962
1941-02-14,224.3463478979
1941-02-15,362.8242823146
1941-02-16,269.6993831872
1941-02-17,241.8828548764
1941-02-18,182.6215554317
1941-02-19,163.2709270416
1941-02-20,145.1297129258
1941-02-21,133.0355701820
1941-02-22,126.9884988101
1941-02-23,126.9884988101
1941-02-24,126.9884988101
1941-02-25,126.9884988101
1941-02-26,126.9884988101
1941-02-27,123.9649631241
1941-02-28,120.9414274382
1941-03-01,108.8472846944
1941-03-02,102.8002133225
1941-03-03,120.9414274382
1941-03-04,604.7071371910
1941-03-05,556.9352733529
1941-03-06,387.0125678022
1941-03-07,335.0077540038
1941-03-08,257.0005333062
1941-03-09,269.6993831872
1941-03-10,241.8828548764
1941-03-11,280.5841116566
1941-03-12,269.6993831872
1941-03-13,224.3463478979
1941-03-14,185.0403839804
1941-03-15,237.0451977789
1941-03-16,345.8924824732
1941-03-17,321.7041969856
1941-03-18,229.1840049954
1941-03-19,229.1840049954
1941-03-20,264.8617260896
1941-03-21,548.4693734322
1941-03-22,828.4487779516
1941-03-23,852.6370634393
1941-03-24,925.2019199022
1941-03-25,973.5784908775
1941-03-26,683.3190650258
1941-03-27,647.0366367943
1941-03-28,665.1778509101
1941-03-29,604.7071371910
1941-03-30,500.6975095941
1941-03-31,466.8339099114
1941-04-01,483.7657097528
1941-04-02,571.4482446455
1941-04-03,571.4482446455
1941-04-04,535.1658164140
1941-04-05,1433.1559151426
1941-04-06,1239.6496312415
1941-04-07,901.0136344145
1941-04-08,701.4602791415
1941-04-09,571.4482446455
1941-04-10,500.6975095941
1941-04-11,434.1797245031
1941-04-12,387.0125678022
1941-04-13,343.4736539245
1941-04-14,313.2382970649
1941-04-15,283.0029402054
1941-04-16,259.4193618549
1941-04-17,241.8828548764
1941-04-18,212.8569122912
1941-04-19,191.6921624895
1941-04-20,203.1815980962
1941-04-21,169.9227055507
1941-04-22,142.1061772399
1941-04-23,128.1979130845
1941-04-24,149.9673700234
1941-04-25,157.8285628068
1941-04-26,131.2214487704
1941-04-27,117.9178917522
1941-04-28,109.4519918316
1941-04-29,100.3813847737
1941-04-30,94.3343134018
1941-05-01,88.8919491671
1941-05-02,85.8684134811
1941-05-03,82.2401706580
1941-05-04,75.5883921489
1941-05-05,73.1695636001
1941-05-06,68.3319065026
1941-05-07,65.9130779538
1941-05-08,71.9601493257
1941-05-09,94.3343134018
1941-05-10,149.9673700234
1941-05-11,116.1037703407
1941-05-12,93.1248991274
1941-05-13,83.4495849324
1941-05-14,76.7978064233
1941-05-15,73.1695636001
1941-05-16,94.3343134018
1941-05-17,415.4338032502
1941-05-18,647.0366367943
1941-05-19,351.3348467080
1941-05-20,254.5817047574
1941-05-21,200.7627695474
1941-05-22,280.5841116566
1941-05-23,136.6638130052
1941-05-24,151.7814914349
1941-05-25,126.3837916729
1941-05-26,103.4049204597
1941-05-27,93.1248991274
1941-05-28,81.0307563836
1941-05-29,70.7507350513
1941-05-30,68.3319065026
1941-05-31,64.7036636794
1941-06-01,67.1224922282
1941-06-02,81.0307563836
1941-06-03,381.5702035675
1941-06-04,2213.2281221190
1941-06-05,1239.6496312415
1941-06-06,701.4602791415
1941-06-07,450.5068172073
1941-06-08,326.5418540831
1941-06-09,262.4428975409
1941-06-10,203.1815980962
1941-06-11,168.1085841391
1941-06-12,163.8756341788
1941-06-13,439.0173816006
1941-06-14,589.5894587612
1941-06-15,362.8242823146
1941-06-16,371.8948893724
1941-06-17,347.7066038848
1941-06-18,701.4602791415
1941-06-19,466.8339099114
1941-06-20,321.7041969856
1941-06-21,249.1393405227
1941-06-22,198.3439409986
1941-06-23,163.8756341788
1941-06-24,157.8285628068
1941-06-25,133.0355701820
1941-06-26,109.4519918316
1941-06-27,93.1248991274
1941-06-28,83.4495849324
1941-06-29,171.7368269622
1941-06-30,109.4519918316
1941-07-01,90.1013634415
1941-07-02,74.3789778745
1941-07-03,402.1302462320
1941-07-04,2189.0398366313
1941-07-05,2255.5576217223
1941-07-06,1378.7322727954
1941-07-07,1281.9791308449
1941-07-08,1523.8619857213
1941-07-09,828.4487779516
1941-07-10,553.3070305297
1941-07-11,387.0125678022
1941-07-12,326.5418540831
1941-07-13,291.4688401260
1941-07-14,237.0451977789
1941-07-15,194.1109910383
1941-07-16,162.0615127672
1941-07-17,298.7253257723
1941-07-18,168.1085841391
1941-07-19,133.0355701820
1941-07-20,124.5696702613
1941-07-21,94.3343134018
1941-07-22,79.2166349720
1941-07-23,71.9601493257
1941-07-24,70.7507350513
1941-07-25,74.3789778745
1941-07-26,74.3789778745
1941-07-27,69.5413207770
1941-07-28,64.7036636794
1941-07-29,59.2612994447
1941-07-30,56.2377637588
1941-07-31,83.4495849324
1941-08-01,73.1695636001
1941-08-02,53.8189352100
1941-08-03,45.3530352893
1941-08-04,36.2824282315
1941-08-05,32.6541854083
1941-08-06,41.1200853290
1941-08-07,39.9106710546
1941-08-08,37.4918425058
1941-08-09,36.2824282315
1941-08-10,34.4683068199
1941-08-11,33.2588925455
1941-08-12,108.2425775572
1941-08-13,147.5485414746
1941-08-14,65.9130779538
1941-08-15,48.9812781125
1941-08-16,168.1085841391
1941-08-17,133.6402773192
1941-08-18,68.3319065026
1941-08-19,278.1652831078
1941-08-20,931.2489912741
1941-08-21,272.7229188731
1941-08-22,154.2003199837
1941-08-23,114.2896489291
1941-08-24,90.1013634415
1941-08-25,135.4543987308
1941-08-26,244.3016834252
1941-08-27,659.1307795382
1941-08-28,336.2171682782
1941-08-29,200.7627695474
1941-08-30,146.3391272002
1941-08-31,116.1037703407
1941-09-01,98.5672633621
1941-09-02,87.6825348927
1941-09-03,81.0307563836
1941-09-04,88.8919491671
1941-09-05,144.5250057886
1941-09-06,320.4947827112
1941-09-07,183.8309697061
1941-09-08,116.1037703407
1941-09-09,94.3343134018
1941-09-10,79.2166349720
1941-09-11,71.9601493257
1941-09-12,75.5883921489
1941-09-13,61.6801279935
1941-09-14,56.2377637588
1941-09-15,55.0283494844
1941-09-16,53.8189352100
1941-09-17,50.7953995240
1941-09-18,48.9812781125
1941-09-19,47.1671567009
1941-09-20,45.3530352893
1941-09-21,43.5389138778
1941-09-22,41.1200853290
1941-09-23,40.5153781918
1941-09-24,39.9106710546
1941-09-25,38.7012567802
1941-09-26,38.7012567802
1941-09-27,36.2824282315
1941-09-28,36.2824282315
1941-09-29,36.2824282315
1941-09-30,35.0730139571
1941-10-01,35.0730139571
1941-10-02,37.4918425058
1941-10-03,53.8189352100
1941-10-04,61.6801279935
1941-10-05,50.1906923869
1941-10-06,42.3294996034
1941-10-07,42.3294996034
1941-10-08,40.5153781918
1941-10-09,37.4918425058
1941-10-10,38.7012567802
1941-10-11,42.3294996034
1941-10-12,45.3530352893
1941-10-13,41.1200853290
1941-10-14,38.7012567802
1941-10-15,42.3294996034
1941-10-16,90.7060705786
1941-10-17,70.7507350513
1941-10-18,47.7718638381
1941-10-19,47.1671567009
1941-10-20,56.8424708960
1941-10-21,50.7953995240
1941-10-22,43.5389138778
1941-10-23,40.5153781918
1941-10-24,39.9106710546
1941-10-25,47.1671567009
1941-10-26,40.5153781918
1941-10-27,38.7012567802
1941-10-28,36.8871353686
1941-10-29,37.4918425058
1941-10-30,37.4918425058
1941-10-31,37.4918425058
1941-11-01,136.0591058680
1941-11-02,251.5581690714
1941-11-03,124.5696702613
1941-11-04,79.8213421092
1941-11-05,62.2848351307
1941-11-06,59.2612994447
1941-11-07,107.6378704200
1941-11-08,126.3837916729
1941-11-09,86.4731206183
1941-11-10,70.7507350513
1941-11-11,61.6801279935
1941-11-12,56.8424708960
1941-11-13,52.6095209356
1941-11-14,50.7953995240
1941-11-15,48.9812781125
1941-11-16,45.3530352893
1941-11-17,42.3294996034
1941-11-18,40.5153781918
1941-11-19,38.7012567802
1941-11-20,37.4918425058
1941-11-21,38.7012567802
1941-11-22,45.9577424265
1941-11-23,197.1345267243
1941-11-24,350.7301395708
1941-11-25,166.2944627275
1941-11-26,116.1037703407
1941-11-27,97.9625562249
1941-11-28,83.4495849324
1941-11-29,75.5883921489
1941-11-30,68.3319065026
1941-12-01,64.7036636794
1941-12-02,62.2848351307
1941-12-03,67.1224922282
1941-12-04,70.7507350513
1941-12-05,63.4942494051
1941-12-06,79.8213421092
1941-12-07,74.3789778745
1941-12-08,59.2612994447
1941-12-09,58.0518851703
1941-12-10,52.0048137984
1941-12-11,52.0048137984
1941-12-12,43.5389138778
1941-12-13,52.6095209356
1941-12-14,93.1248991274
1941-12-15,119.1273060266
1941-12-16,87.6825348927
1941-12-17,95.5437276762
1941-12-18,83.4495849324
1941-12-19,162.0615127672
1941-12-20,275.1417474219
1941-12-21,177.7838983341
1941-12-22,137.8732272795
1941-12-23,130.0120344961
1941-12-24,919.1548485303
1941-12-25,737.7427073730
1941-12-26,430.5514816800
1941-12-27,340.4501182385
1941-12-28,260.0240689921
1941-12-29,213.4616194284
1941-12-30,162.0615127672
1941-12-31,157.8285628068
1942-01-01,153.5956128465
1942-01-02,384.5937392535
1942-01-03,353.7536752567
1942-01-04,266.0711403640
1942-01-05,208.6239623309
1942-01-06,122.7555488498
1942-01-07,72.5648564629
1942-01-08,60.4707137191
1942-01-09,57.4471780331
1942-01-10,57.4471780331
1942-01-11,57.4471780331
1942-01-12,60.4707137191
1942-01-13,66.5177850910
1942-01-14,78.6119278348
1942-01-15,90.7060705786
1942-01-16,102.8002133225
1942-01-17,90.7060705786
1942-01-18,84.6589992067
1942-01-19,181.4121411573
1942-01-20,423.2949960337
1942-01-21,302.3535685955
1942-01-22,254.5817047574
1942-01-23,223.1369336235
1942-01-24,213.4616194284
1942-01-25,196.5298195871
1942-01-26,182.0168482945
1942-01-27,162.0615127672
1942-01-28,157.8285628068
1942-01-29,137.8732272795
1942-01-30,110.6614061059
1942-01-31,143.3155915143
1942-02-01,284.2123544798
1942-02-02,177.7838983341
1942-02-03,116.1037703407
1942-02-04,108.8472846944
1942-02-05,163.2709270416
1942-02-06,302.3535685955
1942-02-07,689.3661363977
1942-02-08,538.1893521000
1942-02-09,353.7536752567
1942-02-10,302.3535685955
1942-02-11,266.0711403640
1942-02-12,238.2546120532
1942-02-13,175.3650697854
1942-02-14,182.0168482945
1942-02-15,189.2733339408
1942-02-16,251.5581690714
1942-02-17,1130.8023465471
1942-02-18,907.0607057865
1942-02-19,580.5188517033
1942-02-20,362.8242823146
1942-02-21,284.2123544798
1942-02-22,260.0240689921
1942-02-23,241.8828548764
1942-02-24,223.7416407607
1942-02-25,199.5533552730
1942-02-26,177.7838983341
1942-02-27,157.8285628068
1942-02-28,143.3155915143
1942-03-01,136.0591058680
1942-03-02,117.9178917522
1942-03-03,114.8943560663
1942-03-04,119.1273060266
